epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1881,0.71483,2.24196,1.20723,0.83417,0.75871,0.84331,0.6925,0.63034,1.11678,1.06805,0.00332923,0.00332923,0.00332923
2,179.331,0.70453,1.27076,1.1665,0.92383,0.86936,0.92834,0.80983,0.51761,0.67587,0.97055,0.00653065,0.00653065,0.00653065
3,263.412,0.77124,1.11837,1.19632,0.83148,0.78154,0.86279,0.68974,0.72335,0.92314,1.13723,0.00960006,0.00960006,0.00960006
4,347.178,0.81094,1.01823,1.22153,0.89711,0.85349,0.91583,0.76863,0.6216,0.65625,1.04886,0.009406,0.009406,0.009406
5,431.475,0.73811,0.84151,1.17018,0.88559,0.8355,0.91324,0.7895,0.55399,0.64442,1.00536,0.009208,0.009208,0.009208
6,516.478,0.68738,0.74974,1.13908,0.93165,0.89814,0.94381,0.8514,0.46151,0.47866,0.92093,0.00901,0.00901,0.00901
7,601.118,0.65979,0.69678,1.12245,0.96638,0.91199,0.95354,0.87715,0.40722,0.39453,0.88026,0.008812,0.008812,0.008812
8,685.641,0.63596,0.66145,1.10847,0.96044,0.91684,0.95645,0.88754,0.38176,0.37036,0.86824,0.008614,0.008614,0.008614
9,770.581,0.61287,0.62421,1.09357,0.95626,0.91726,0.95861,0.88428,0.39407,0.38323,0.87499,0.008416,0.008416,0.008416
10,855.129,0.58941,0.59754,1.07986,0.96082,0.92623,0.96128,0.90363,0.34776,0.34385,0.84034,0.008218,0.008218,0.008218
11,939.647,0.58049,0.57722,1.07412,0.96831,0.91702,0.9651,0.91075,0.33035,0.32389,0.82407,0.00802,0.00802,0.00802
12,1024.16,0.56182,0.5611,1.0627,0.96943,0.92014,0.96426,0.91428,0.32026,0.31922,0.82369,0.007822,0.007822,0.007822
13,1108.95,0.55066,0.54142,1.05653,0.96141,0.937,0.96582,0.92018,0.30207,0.29843,0.81019,0.007624,0.007624,0.007624
14,1193.34,0.54198,0.52973,1.05438,0.96258,0.93728,0.96739,0.92806,0.29737,0.28969,0.80653,0.007426,0.007426,0.007426
15,1276.64,0.53043,0.51916,1.04643,0.96696,0.93598,0.97073,0.93296,0.2819,0.28,0.79921,0.007228,0.007228,0.007228
16,1360.29,0.52079,0.50441,1.0408,0.96362,0.93632,0.97191,0.93693,0.26872,0.273,0.79146,0.00703,0.00703,0.00703
17,1444.08,0.51244,0.49128,1.03559,0.97199,0.93299,0.97112,0.93607,0.26375,0.2635,0.78665,0.006832,0.006832,0.006832
18,1528.67,0.50543,0.48545,1.03163,0.96502,0.93826,0.97398,0.93877,0.26613,0.26164,0.78741,0.006634,0.006634,0.006634
19,1612.87,0.50456,0.48553,1.03066,0.9627,0.93902,0.97365,0.94102,0.25686,0.25984,0.78407,0.006436,0.006436,0.006436
20,1697.06,0.49425,0.46835,1.0261,0.96645,0.94431,0.97532,0.94367,0.24957,0.25092,0.77854,0.006238,0.006238,0.006238
21,1780.77,0.48723,0.46214,1.02358,0.97448,0.93742,0.97752,0.94735,0.24654,0.2411,0.77738,0.00604,0.00604,0.00604
22,1864.6,0.48305,0.45869,1.02153,0.97054,0.94611,0.97689,0.94601,0.2424,0.24183,0.77383,0.005842,0.005842,0.005842
23,1947.79,0.47216,0.44792,1.01535,0.97287,0.94242,0.97719,0.94738,0.23922,0.23711,0.77375,0.005644,0.005644,0.005644
24,2031.78,0.47129,0.44259,1.01478,0.96855,0.94581,0.97872,0.94921,0.23434,0.23208,0.76972,0.005446,0.005446,0.005446
25,2115.45,0.46476,0.43557,1.01106,0.96738,0.95022,0.97945,0.95209,0.22869,0.2299,0.76649,0.005248,0.005248,0.005248
26,2199.73,0.45716,0.42664,1.00611,0.96683,0.95829,0.97948,0.9526,0.22743,0.2274,0.76613,0.00505,0.00505,0.00505
27,2283.54,0.45386,0.42362,1.0043,0.97088,0.95276,0.97936,0.95372,0.22064,0.22595,0.76093,0.004852,0.004852,0.004852
28,2367.33,0.44683,0.4148,1.00125,0.97021,0.95032,0.97948,0.95585,0.21673,0.223,0.75901,0.004654,0.004654,0.004654
29,2451.78,0.44233,0.40749,0.99812,0.97148,0.95236,0.97973,0.95511,0.21738,0.21987,0.76046,0.004456,0.004456,0.004456
30,2536.16,0.437,0.40468,0.99699,0.97234,0.9511,0.97946,0.95492,0.21507,0.21812,0.75965,0.004258,0.004258,0.004258
31,2620.46,0.43189,0.3983,0.99302,0.972,0.94911,0.98068,0.957,0.21268,0.21425,0.75673,0.00406,0.00406,0.00406
32,2704.95,0.42806,0.39291,0.99289,0.97689,0.94804,0.98063,0.95707,0.21048,0.21228,0.75484,0.003862,0.003862,0.003862
33,2788.71,0.42559,0.39128,0.98928,0.97433,0.95079,0.98138,0.95825,0.20897,0.21081,0.75423,0.003664,0.003664,0.003664
34,2873.95,0.41761,0.38222,0.9863,0.97136,0.95429,0.98159,0.95869,0.20754,0.20773,0.754,0.003466,0.003466,0.003466
35,2960,0.41262,0.37645,0.98372,0.96927,0.95608,0.98135,0.9588,0.20561,0.20647,0.75328,0.003268,0.003268,0.003268
36,3045.54,0.40795,0.37093,0.98113,0.97329,0.95307,0.98134,0.95911,0.20416,0.20452,0.75225,0.00307,0.00307,0.00307
37,3131.11,0.40402,0.3677,0.9799,0.97405,0.95435,0.98151,0.95997,0.20317,0.20396,0.75202,0.002872,0.002872,0.002872
38,3215.24,0.39621,0.36018,0.97479,0.97542,0.9534,0.98267,0.96076,0.20154,0.20243,0.75135,0.002674,0.002674,0.002674
39,3299.57,0.39174,0.35518,0.97281,0.97543,0.95377,0.98284,0.96096,0.20065,0.20117,0.75065,0.002476,0.002476,0.002476
40,3384.96,0.38793,0.35453,0.97361,0.97434,0.95529,0.98259,0.96113,0.19947,0.20038,0.74993,0.002278,0.002278,0.002278
41,3487.68,0.3053,0.28303,0.9105,0.97382,0.95597,0.98267,0.96153,0.19783,0.19837,0.74906,0.00208,0.00208,0.00208
42,3571.95,0.29039,0.26417,0.90069,0.97398,0.95602,0.98248,0.96178,0.19609,0.19701,0.74812,0.001882,0.001882,0.001882
43,3655.56,0.28633,0.2601,0.8989,0.97539,0.95609,0.98219,0.96191,0.19397,0.19499,0.74672,0.001684,0.001684,0.001684
44,3739.42,0.27684,0.24929,0.89085,0.9748,0.95577,0.9824,0.96221,0.19246,0.19388,0.74577,0.001486,0.001486,0.001486
45,3823.34,0.27085,0.24334,0.8885,0.9735,0.95769,0.98246,0.96236,0.19097,0.19266,0.745,0.001288,0.001288,0.001288
46,3907.23,0.26218,0.23611,0.88305,0.97231,0.95984,0.98257,0.96282,0.18975,0.19161,0.74433,0.00109,0.00109,0.00109
47,3991.37,0.25439,0.22978,0.87632,0.97323,0.95945,0.98271,0.96279,0.18878,0.19112,0.74388,0.000892,0.000892,0.000892
48,4075.83,0.24651,0.22115,0.87413,0.9747,0.95881,0.9828,0.96311,0.18775,0.19003,0.74334,0.000694,0.000694,0.000694
49,4159.52,0.24166,0.21631,0.87158,0.97444,0.95948,0.9829,0.96324,0.18665,0.18891,0.74269,0.000496,0.000496,0.000496
50,4243.37,0.23638,0.21166,0.8683,0.97381,0.95956,0.98296,0.96336,0.18557,0.18778,0.74223,0.000298,0.000298,0.000298
